action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1716009,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207445,,CHEMBL207445,,0,http://www.openphacts.org/units/Nanomolar,474561,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716010,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL379905,,CHEMBL379905,,0,http://www.openphacts.org/units/Nanomolar,474560,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716011,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL208286,,CHEMBL208286,,0,http://www.openphacts.org/units/Nanomolar,474559,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716012,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL376967,,CHEMBL376967,,0,http://www.openphacts.org/units/Nanomolar,474558,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716013,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL382823,,CHEMBL382823,,0,http://www.openphacts.org/units/Nanomolar,474557,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716014,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)[C@@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL208048,,CHEMBL208048,,0,http://www.openphacts.org/units/Nanomolar,474556,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716015,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL378370,,CHEMBL378370,,0,http://www.openphacts.org/units/Nanomolar,474555,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716016,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL380006,,CHEMBL380006,,0,http://www.openphacts.org/units/Nanomolar,474554,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716017,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CNC(=O)[C@@H](C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL211003,,CHEMBL211003,,0,http://www.openphacts.org/units/Nanomolar,474553,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716018,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207687,,CHEMBL207687,,0,http://www.openphacts.org/units/Nanomolar,474552,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716019,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL208118,,CHEMBL208118,,0,http://www.openphacts.org/units/Nanomolar,474551,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716020,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL379601,,CHEMBL379601,,0,http://www.openphacts.org/units/Nanomolar,474550,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716021,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL380386,,CHEMBL380386,,0,http://www.openphacts.org/units/Nanomolar,474549,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716022,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207037,,CHEMBL207037,,0,http://www.openphacts.org/units/Nanomolar,474548,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716023,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207246,,CHEMBL207246,,0,http://www.openphacts.org/units/Nanomolar,474547,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716024,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207674,,CHEMBL207674,,0,http://www.openphacts.org/units/Nanomolar,474546,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716025,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC[C@@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL206783,,CHEMBL206783,,0,http://www.openphacts.org/units/Nanomolar,474545,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716026,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL204420,,CHEMBL204420,,0,http://www.openphacts.org/units/Nanomolar,474544,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716027,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL377772,,CHEMBL377772,,0,http://www.openphacts.org/units/Nanomolar,474543,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716028,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC[C@H](C(N)=O)C1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL380454,,CHEMBL380454,,0,http://www.openphacts.org/units/Nanomolar,474542,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716029,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(=O)N(C)C,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL382822,,CHEMBL382822,,0,http://www.openphacts.org/units/Nanomolar,474541,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716030,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL383760,,CHEMBL383760,,0,http://www.openphacts.org/units/Nanomolar,474540,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716031,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1C[C@H](OC)C[C@@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207235,,CHEMBL207235,,0,http://www.openphacts.org/units/Nanomolar,474539,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716032,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL208292,,CHEMBL208292,,0,http://www.openphacts.org/units/Nanomolar,474538,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716033,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207584,,CHEMBL207584,,0,http://www.openphacts.org/units/Nanomolar,474537,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716034,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL382638,,CHEMBL382638,,0,http://www.openphacts.org/units/Nanomolar,474536,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716035,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL206955,,CHEMBL206955,,0,http://www.openphacts.org/units/Nanomolar,474535,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751517,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL215652,,CHEMBL215652,,0,http://www.openphacts.org/units/Nanomolar,528643,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751518,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL213423,,CHEMBL213423,,0,http://www.openphacts.org/units/Nanomolar,528646,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751519,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL213451,,CHEMBL213451,,0,http://www.openphacts.org/units/Nanomolar,528667,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751521,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL212382,,CHEMBL212382,,0,http://www.openphacts.org/units/Nanomolar,528687,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751522,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL212968,,CHEMBL212968,,0,http://www.openphacts.org/units/Nanomolar,528698,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751523,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL214198,,CHEMBL214198,,0,http://www.openphacts.org/units/Nanomolar,528700,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1751646,[],CHEMBL869150,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,,,CHEMBL1145312,Bioorg Med Chem Lett,2006,,CHEMBL379929,,CHEMBL379929,,0,http://www.openphacts.org/units/Nanomolar,528627,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1916291,[],CHEMBL894116,Inhibition of recombinant AMPK by radiometric assay,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,,,CHEMBL1148724,J Med Chem,2007,,CHEMBL395080,,CHEMBL395080,,0,http://www.openphacts.org/units/Nanomolar,653783,>,1,1,>,,IC50,nM,,50000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,50.0
,,1916345,[],CHEMBL894116,Inhibition of recombinant AMPK by radiometric assay,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,,,CHEMBL1148724,J Med Chem,2007,,CHEMBL389745,,CHEMBL389745,,0,http://www.openphacts.org/units/Nanomolar,653784,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,3526773,[],CHEMBL1272378,Inhibition of human AMPK alpha-2/beta-1/gamma-1 by Hot Spot filtration binding assay,B,,,BAO_0000190,BAO_0000223,protein complex format,Oc1ccc(-c2cnc3c(Br)cnn3c2)cc1,,,CHEMBL1268961,Bioorg Med Chem Lett,2010,"{'bei': '17.63', 'le': '0.41', 'lle': '2.25', 'sei': '10.14'}",CHEMBL1269227,,CHEMBL1269227,5.11,0,http://www.openphacts.org/units/Nanomolar,964558,=,1,1,=,,IC50,nM,,7700.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,7.7
,,3526774,[],CHEMBL1272378,Inhibition of human AMPK alpha-2/beta-1/gamma-1 by Hot Spot filtration binding assay,B,,,BAO_0000190,BAO_0000223,protein complex format,Brc1cnn2cc(-c3ccc(OCCN4CCOCC4)cc3)cnc12,,,CHEMBL1268961,Bioorg Med Chem Lett,2010,"{'bei': '13.53', 'le': '0.30', 'lle': '2.59', 'sei': '10.51'}",CHEMBL1272246,,CHEMBL1272246,5.46,0,http://www.openphacts.org/units/Nanomolar,968132,=,1,1,=,,IC50,nM,,3500.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,3.5
,,3526775,[],CHEMBL1272378,Inhibition of human AMPK alpha-2/beta-1/gamma-1 by Hot Spot filtration binding assay,B,,,BAO_0000190,BAO_0000223,protein complex format,c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1,,,CHEMBL1268961,Bioorg Med Chem Lett,2010,"{'bei': '14.34', 'le': '0.26', 'lle': '1.97', 'sei': '11.07'}",CHEMBL331465,,CHEMBL331465,5.75,0,http://www.openphacts.org/units/Nanomolar,968194,=,1,1,=,,IC50,nM,,1800.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,1.8
